identifier,title,creator,date,year,language,description,publisher,source,collected_date
McGillLibrary-rbsc_hadriani-lunii-hornani_colgate6-P528J86H331588-23711,"Hadriani Iunii Hornani, medici, Batauia. : In qua præter gentis & insulæ antiquitatem, originem, decora, mores, aliaq́ue ad eam historiam pertinentia, declaratur quæ fuerit vetus Batauia, quæ Plinio, Tacito, & Ptolemæo cognita: quæ item genuina inclytæ Francorum nationis fuerit sedes","Junius, Hadrianus, 1511-1575, author",1588-01-01T00:00:00Z,1588,Latin,"[20], 411, [1] p. : illustrations (woodcuts) ; 23 cm (4to)","Lugduni Batuorum, : Ex officina Plantiniana, : Apud Franciscum Raphelengium.",Internet Archive,2025-11-18T16:14:37.462477
McGillLibrary-osl_album-amicorum-johannes-derramout_BibOsl7507-23678,Album amicorum of Johannes Derramout,"Derramout, Johannes.",1611-01-01T00:00:00Z,1611,Latin,"i, 190 leaves, bound : 2 color coats of arms",1611-1613.,Internet Archive,2025-11-18T16:14:37.462493
McGillLibrary-osl_mel-antidatos-ex-medicae-praxis_BibOsl7517-23604,Mel anti[d]atos [sic] ex medicae praxis floribus decerptum ab Iulio Hyeronymo Bandiera Med. Doct. Senen. Senis MDCXCI,"Bandiera, Giulio Girolamo",1691-01-01T00:00:00Z,1691,Latin,"249 leaves, bound",[approximately 1691],Internet Archive,2025-11-18T16:14:37.462525
ARes08409,Septimus tomus uitarum sanctorum patrum,"Lippomano, Luigi, 1500-1559",1558-01-01T00:00:00Z,1558,latin,"Más detalles Materia Santos Literatura latina -- Siglo 16 Editor Romae : Antonium Bladum impressorem Cam. Fecha de publicación 1558 Formato [20], 370 h.; 4o Fuente Catálogo de la biblioteca Identificador OCLC : (OCoLC)915375374 Nota de publicación Marca tip. en port. Lugar de impresión Italia Roma Nota de descripción física Sign.: *-2*8, 3*4, A-Z8, 2A-2Y8, 2Z10 SIGNATURA A Res. 08/4/09 Olim.: A 19/97. | Encuadernación: Perg. E.21.T.D. (En la tapa Catálogo Fama",Romae : Antonium Bladum impressorem Cam.,Internet Archive,2025-11-18T16:14:37.462541
McGillLibrary-osl_two-public-instruments-conservators-city-forum-livii_BibOsl7558-22857,"[Two public instruments of the Conservators of the city of Forum Livii (Forlì) in favour of the marquis Giacomo Zandemaria, papal governor of that city : i. Diploma conferring the rights of citizenship upon him and upon the family of Zandemaria, ii. Letters patent testifying to the good character of his governorship]",Producer not identified,1668-01-01T00:00:00Z,1668,Latin,"35 leaves : parchment, color illustrations, coat of arms",1668-1670.,Internet Archive,2025-11-18T16:14:37.462576
McGillLibrary-osl_ad-legem-secundam-codice-maleficis-mathematicis_BibOsl7631-22863,"Ad legem secundam codice de maleficis et mathematicis Iacobi Valerij I.C. et patritij Mediolanensis notae : de vanitate astrologorum, diuinatorum, vatum, augurum, haruspicum, hariolarum, Chaldaeorum, somniorum interpraetum, genethliacorum, et aliorum aeruscatorum, qui quaestus gratia sub nomine mathematicorum et astrologorum suas adumbrant ineptias","Valerius, Jacobus",1635-01-01T00:00:00Z,1635,Latin,"vii, 36 leaves, bound",1635.,Internet Archive,2025-11-18T16:14:37.462583
McGillLibrary-osl_joannis-baptistae-portae-neapolitani_BibOsl7618-22866,"Joannis Baptistae Portae, Neapolitani, de ea Naturalis physiognomiae parte que ad manuum lineas spectat libri duo","Porta, Giambattista della, approximately 1535-1615",1600-01-01T00:00:00Z,1600,Latin,"34 leaves, bound : vellum, illustrations, portrait",[approximately 1600],Internet Archive,2025-11-18T16:14:37.462590
McGillLibrary-osl_compendium-physicae-a-dom_BibOsl7536-22782,Compendium physicae a dom. Petro Cruuellio pastore et in Academia Montalbanensi phīe professore dictatum anno salutis 1654° ..,"Cruvel, Pierre, 1602-1658",1654-01-01T00:00:00Z,1654,Latin,"232 leaves, bound",1654.,Internet Archive,2025-11-18T16:14:37.462615
McGillLibrary-osl_commentarii-in-hippocratis-aphorismos-septem_BibOsl0174-22776,"Commentarii in Hippocratis Aphorismos septem sectionibus concinnatos, Samuelis Bave Coloniensis, medicinae candidatj anno 1624 : with Latin text of Aphorisms distinguished by larger writing",Hippocrates,1624-01-01T00:00:00Z,1624,Latin,"xiv, 422 pages, bound ; 16 cm",1624.,Internet Archive,2025-11-18T16:14:37.462629
McGillLibrary-osl_consilium-in-debilitate-digestiue-stomaci_BibOsl7555-22726,Consilium in debilitate digestiue stomaci ... pro spectato domino Johanne [Symonetta] de Calabria editum per ... magistrum Johannem Matheum de Ferrariis de Gradi,"Ferrari de Gradi, Giovanni Matteo, -1472",1470-01-01T00:00:00Z,1470,Latin,11 unnumbered leaves,[approximately 1470],Internet Archive,2025-11-18T16:14:37.462637
McGillLibrary-osl_an-indulgence-sir-george-sutton_BibOsl7527-22724,"[An indulgence from Sir George Sutton, knt., Master, and the brethren, of the Hospital of Burton Lazars in Leicestershire, to Margaret Bowis or Boys, written 10 July, 1497, together with later related documents]",Producer not identified,1497-01-01T00:00:00Z,1497,Latin,35 leaves,1497-[19--?],Internet Archive,2025-11-18T16:14:37.462654
McGillLibrary-osl_hippolytus-redivivus_BibOsl7573-22721,Hippolytus redivivus : id est remedium contemnendi sexum muliebrem,Producer not identified,1600-01-01T00:00:00Z,1600,Latin,"ii, 34 leaves",[16--],Internet Archive,2025-11-18T16:14:37.462691
McGillLibrary-osl_inquisicio-indentata-capta-apud-lycheffelde_BibOsl7535-22717,Inquisicio indentata capta apud Lycheffelde ... coram Ricardo Frythe vno coronatore domini Regis ... xxxvij⁰ die Nouembris anno regni Regis Henrici octaui quarto super visum corporis Henrici Irelande alias dicti Henrici Chambyr,Producer not identified,1512-01-01T00:00:00Z,1512,Latin,1 leaf : parchment,1512.,Internet Archive,2025-11-18T16:14:37.462747
dutch-school-4479,An album of botanical studies,Dutch School,1637-01-01T00:00:00Z,1637,english-handwritten,"Dutch School An album of botanical studies Circa 1637-1642 26 water- and bodycolor drawings, average size: 12 ⅜  x 8 ⅜  inches. Most are inscribed in Dutch. Loosely inserted in an album of full vellum. Spine height: 14 ⅞  inches. Watermarks:  Foolscap; peacock inside circle; and others.  According to Dr. Sam Segal, these drawings are by Pieter Holsteyn, the younger (circa 1612-1673). Sandra Raphael has identified the plants; see the manuscript for her comments.   Inscriptions: 1 a & b.  “Croon Imperiael” (Crown Imperial; Fritillaria imperialis ). 2. “Crocus” ( Crocus veruus ). 3. “Martagon van Constantinoplen” (Scarlet Turk’s Cap Lily; Lilium chalcedonicum ). 4. “Narcissus albus” (Poet’s Narcissus; Narcissus poeticus ). 5. “Groot trompet” (Hoop-petticoat Narcissus; Narcissus bulbocodium ). 6.“Enckel Jonkielje” (Jonquil and Kampernel Narcissus; Narcissus jonquilla , Narcissus x odorus - N. pseudonarcissus ). 7. “Iris Persica” (Persian Iris). 8. “Geslamde spaans Iris” (Spanish Iris; Iris xiphium ). 9. “Iris wit met blau van Quakel of posteleyn” (English Iris; Iris latifolia ). 10. “Ornithogalum alexandrinum” (Great Star of Bethlehem; Ornithogalum pyramidale ). 11. “Vyolet geboorde Schapesteyn” (Tulip). 12. “Vroech nieu van Mr. Coper” (Tulip). 13. No inscription - tulip. 14. No inscription - tulip. 15. No inscription - five carnations; Dianthus caryophyllus . 16. No inscription - five carnations; Dianthus caryophyllus . 17. No inscription - five carnations; Dianthus caryophyllus . 18. “Auricula ursi, oft beeren oor.” (Auriculas or Bear’s Ear; Primula x pubescens - P. auricula ). 19. “Malva flore rubro” (Lavatera; Lavatera trimestris ). 20. “Orgi Orjentalis” (Bee orchid; Ophrys apifera ). 21. “Gentionella” (Gentian; Gentiana clusii ). 22. “Fritillaris aquitanica” (Pyrenean Fritillary; Fritillaria pyrenaica ).  23. “Lilium persicum” (Persian Lily; Fritillaria persica ).  24. “Wit fritillaris” (White Fritillary; Fritillaria meleagris ).  25. “Bonte fritillaris” (Snake’s Head Fritillary; Fritillaria meleagris ) Original held by the Oak Spring Garden Foundation, Upperville, Virginia. This resource is in the public domain and may be used without restriction, however, attribution is customary and requested.",,Internet Archive,2025-11-18T16:14:37.462763
McGillLibrary-rbsc_biblia-latina_incun-1480-bible-22556,[Biblia Latina.],"Per Franciscum de hailbrun,",1480-01-01T00:00:00Z,1480,Latin,469 leaves ; 23 cm (4to),Impressa Venetiis : Per Franciscum de hailbrun,Internet Archive,2025-11-18T16:14:37.462775
McGillLibrary-rbsc_leaf-book-biblia-cum-concodantiis_folioBS1414L3V81497b-22555,"[Leaf from book of Job in Biblia cum concordantiis, printed in Strasbourg by Johann Grüninger in 1497]","Lande, Lawrence M. (Lawrence Montague), 1906- former owner.",1497-01-01T00:00:00Z,1497,Latin,1 leaf ([2] pages) ; 30 cm,[Strasbourg] : [J.R. Grueninger],Internet Archive,2025-11-18T16:14:37.462787
McGillLibrary-osl_conciliator-differentiarum-philosophorum_folioWZ230A1175c1472-22483,Conciliator differentiarum philosophorum et medicorum,"Petrus, de Abano, approximately 1250-approximately 1315",1472-01-01T00:00:00Z,1472,Latin,363 leaves ; 41 cm,"Mantua : Johannes Vurster and Thomas Septemcastrensis, for Ludovicus Carmelita",Internet Archive,2025-11-18T16:14:37.462805
McGillLibrary-rbsc_hortus-sanitatis_folioQH41H671497-22226,Hortus sanitatis : De herbis et plantis. De animalibus et reptilibus. De Avibus et volatilibus. De piscibus et animalibus. De lapidibus et in terre venis nascetibus. De urinis ... tractatus,"Johann Pruss,",1497-01-01T00:00:00Z,1497,Latin,360 pages : illustrations,Strassburg : Johann Pruss,Internet Archive,2025-11-18T16:14:37.462812
McGillLibrary-osl_historia-naturalis_folioWZ230P728h1481-22220,Historia naturalis,"Pliny, the Elder",1481-01-01T00:00:00Z,1481,Latin,1 volume ; 41 cm (fol.),Parma : Andreas Portilia,Internet Archive,2025-11-18T16:14:37.462824
McGillLibrary-rbsc_incunable-bartholomaeus_de-proprietatibus-rerum_1481_M4B282-22190,De proprietatibus rerum,"Bartholomaeus, Anglicus, active 13th century",1492-01-01T00:00:00Z,1492,Latin,214 unnumbered leaves ; 33 cm,Nuremburg : A. Koberger,Internet Archive,2025-11-18T16:14:37.462830
McGillLibrary-rbsc_plinii-secundi-naturae-historiarum_Y35P721497-22179,C. Plinii Secundi Naturae historiarum libri. XXXVII,"Pliny, the Elder",1497-01-01T00:00:00Z,1497,Latin,[268?] leaves ; 39 cm (fol.),Venetiis : P[er] Bernardinū Benaliū,Internet Archive,2025-11-18T16:14:37.462849
McGillLibrary-osl_tertius-operum-galeni-tomus_G153t1528-22146,"Tertius operum Galeni tomus : Librorum principis medicorum Galeni, quos nuper insignes viri felicissimis tralationibus illustrarunt. Tomus ... recognitus: una cum indice ...",Galen,1528-01-01T00:00:00Z,1528,Latin,cccxi leaves. (4to),[Lyons] : [Jac. Myt?],Internet Archive,2025-11-18T16:14:37.462888
harder-johannes-high-resolution,"Historia stirpium, collecta, per doctore Ioanne Harderum medicu[m] Geislingensem.","Harder, Johannes, c. 1563-1606",1595-01-01T00:00:00Z,1595,Latin and German,"Historia stirpium, collecta, per doctore Ioanne Harderum medicu[m] Geislingensem. Manuscript comprises title-page; six leaves containing index; six leaves containing register; 197 leaves containing 588 dried plant specimens, most with watercolor additions showing bulbs, roots, fruits, vegetables, grassy mounds, and other details; ten blank leaves with 15 specimens loosely inserted.  The plants have been identified in Latin and German by Harder. Bound in South German pigskin, blind-stamped, over wooden boards; spine stamped in blind; all edges speckled black; remnants of metal and leather clasps and hasps.  Label on front pastedown endpaper:  “No 1022 D XIV  Bibljoteka  Julinska.” Stamped on title-page and rear endpaper:  “Biblioteka [sic]  Julinska.” Previous owner’s inscription on title page:  “…1874.”  Inscribed on rear endpaper:  “…Jeremias Forstner.”  In beige cloth box-case.  Spine height:  14 ¼ inches.  Watermark:  ‘K’ in circle. Dr. Johannes Harder was the son of the pharmacist Hieronymus Harder, who is known as the first German professional compiler of herbaria. Nine 16th century herbaria by him are recorded: two in Munich, one in Rome, Vienna, Salzburg, Linz, Uberlingen, Ulm, and Heildelberg. Johannes studied medicine at Tübingen and Strassburg, becoming a doctor on December 19th 1593, and afterwards practicing in Geislingen and Ulm.  References: An Oak Spring Herbaria , pages 326-329. Original held by the Oak Spring Garden Foundation, Upperville, Virginia. This resource is in the public domain and may be used without restriction, however, attribution is customary and requested.",,Internet Archive,2025-11-18T16:14:37.462930
bibliacumtabulan00unse,Biblia Cum Tabula Nouiter Edita,,1494-01-01T00:00:00Z,1494,Latin,"Incipit Tabula super Bibliam per versus composita: omnes libros Biblie continens omniaque capitula et de quo agatur in eisdem capitulis Exacta est Biblia presens Venetijs su[m]ma lucubratione: : |b per Symonem Beuilaqua papiensem., |c Anno nonagesimo quarto supra milesimñ [that is, milesimu[m]] quaterq[ue] centesimu[m]: die vero vicesima secunda nouembris [22 November 1494] Colophon on leaf 2c4 verso reads: Exacta est Biblia presens Venetijs su[m]ma lucubratione: per Symonem Beuilaqua papiensem. Anno nonagesimo quarto supra milesimñ [that is, milesimu[m]] quaterq[ue] centesimu[m]: die vero vicesima secunda nouembris. Printed primarily in two columns, paragraph form, 55 lines to a full column; the interpretation of Hebrew names is printed in three columns. 300 [455] leaves ; (4to)",Uenetijs ... : per Symonem beuilaqua...,Internet Archive,2025-11-18T16:14:37.462945
marrel5325,"[Tulpenboeken] : Jacobus Marrellus Franckendalensis delineavit ad vivam, hodie floru[m] sculptor traiectensis, anno CI I CXLII.","Marrel, Jacob, 1613 or 1614-1681",1642-01-01T00:00:00Z,1642,Dutch,"Manuscript comprises title-page in watercolor, bodycolor, and pen and ink; one folded leaf with an index listing the 99 species of tulips originally depicted in the manuscript; 95 watercolor and bodycolor drawings, each about 12 3/8 x 7 7/8 inches, and bearing the name of the tulip in pen and ink. All loosely inserted in an album bound in contemporary calf; gilt borders; re-backed with original spine; spine gilt; marbled edges; green cloth ties (possibly modern). The edges of the drawings are gilt. In half vellum box-case. Spine height: 16 ¼ inches. Watermarks: Pro Patria with ‘GR’ countermark (in paper containing the index); fleur-de-lys in coat of arms with crown and ‘LB’ countermark (in paper with drawings). Text at the beginning of the index translation: “Index of ninety-nine sorts of the most famous tulips painted in the year 1642 artistically from life and by that thanks to the artistic brush of Jacob Marelles (sic) here preserved from oblivion, as a reminder of the senseless traffic in them in the years 1635, 1636, and 1637: with addition of the weight of their bulbs and the prices for which these were sold at that time, as far as I have been able to discover their part in Flora’s rising and fall (Ao: 1643 printed in Amsterdam).” Original held by the Oak Spring Garden Foundation, Upperville, Virginia. This resource is in the public domain and may be used without restriction, however, attribution is customary and requested.",Oak Spring Garden Foundation,Internet Archive,2025-11-18T16:14:37.462955
McGillLibrary-osl_exercitationes-aminadversiones-librum_P953i1630-22104,"Exercitationes, et aminadversiones in librum, De motu cordis, et circulatione sanguinis : Adversus Guilielmum Harveum ..","Primerose, James, approximately 1598-1659",1630-01-01T00:00:00Z,1630,Latin,"[11], 108 pages ; 19 cm","Londini : Gulielmus Jones, pro Nicolao Bourne",Internet Archive,2025-11-18T16:14:37.462972
McGillLibrary-rbsc_incipit-dialogus-qui-vocatur-scrutiniu_folio-incun-paulus1470-copy2-22102,Scrutinium scripturarum,"Pablo de Santa Maria, Bishop of Burgos, approximately 1351-1435.",1470-01-01T00:00:00Z,1470,Latin,[436] pages ; 30 cm. (fol.),"[Strasbourg : Johann Mentelin, not after May 1470]",Internet Archive,2025-11-18T16:14:37.462983
McGillLibrary-rbsc_incipit-dialogus-qui-vocatur-scrutiniu_folio-incun-paulus1470-copy1-22099,Incipit dialogus qui vocatur scrutiniu[m] scripturarum copy1,"Pablo de Santa Maria, Bishop of Burgos, approximately 1351-1435",1470-01-01T00:00:00Z,1470,Latin,[436] pages ; 30 cm. (fol.),[Strasbourg : Johann Mentelin],Internet Archive,2025-11-18T16:14:37.463003
diuiaugustiniepi00unse,Diui Augustini episcopi et doctoris ecclesie Sermones ad heremitas & ad alios feliciter incipiunt,,1492-01-01T00:00:00Z,1492,Latin,"[2], 122 leaves : 15 cm (8vo)",Impressum Venetijs : Opera & impensis Vencentij Benalij,Internet Archive,2025-11-18T16:14:37.463012
McGillLibrary-rbsc_incipit-dialogus-qui-vocatur-scrutiniu_folio-incun-paulus1470-copy2-22098,Epistolae : [and other works in 10 books],"Ambrose, Saint, Bishop of Milan, -397",1490-01-01T00:00:00Z,1490,Latin,[189] leaves ; 29 cm,Ml'i [i.e. Milan] : Leonardus Pachel,Internet Archive,2025-11-18T16:14:37.463020
McGillLibrary-rbsc_christophori-la-n-dini-florentini_folioincun1491virgil-22087,Christophori La[n]dini Florentini in P. Virgi. i[n]terpretatio[n]es prooemiu[m] ad Pet[rum] Medicu[m] magni Laure[n]ti filiu[m],Virgil,1491-01-01T00:00:00Z,1491,Latin,"[8], 319, [1] leaves ; 33 cm (fol.)",[Venice] : Impressu[m] Venetiis p[er] Bertolameu[m] de Za[n]is de Portesio,Internet Archive,2025-11-18T16:14:37.463031
McGillLibrary-rbsc_lapuleii-opera_folioincun1493apuleius-22082,L. Apuleii Opera,"Apuleius, author",1493-01-01T00:00:00Z,1493,Latin,"4 unnumbered leaves, cvi leaves ; 32 cm (folio)",[Venetiis] : Impraesa Venetiis per Philippum Pinzium Ma[n]tuanum,Internet Archive,2025-11-18T16:14:37.463044
McGillLibrary-rbsc_incipit-liber-dyalogorum-beati_folioIncun1475GregoryI-22081,Incipit liber dyalogorum Beati Gregory ad Petru[m] diaconum suum,"Gregory I, Pope, approximately 540-604, author",1475-01-01T00:00:00Z,1475,Latin,lxxxvi leaves ; 31 cm (folio),[Augsburg] : [Johann Wiener],Internet Archive,2025-11-18T16:14:37.463052
McGillLibrary-rbsc_quinta-pars-huius-operis-in-se-contine_folioIncun1498-bible-gospels-22038,"Quinta pars huius operis in se contine[n]s glosam ordinariam cu[m] expositio[n]e lyre litterali [et] morali: necnon additionibus ac replicis, super libros Matthei, Marci, Luce, Joha[n]nis","Walahfrid Strabo, 807?-849, attributed name. https://id.oclc.org/worldcat/entity/E39PBJdWHxHdxPcv9WgTgHqmh3",1498-01-01T00:00:00Z,1498,Latin,244 unnumbered leaves : illustration ; 32 cm (folio),[Basel] : [Per Johannem Petri de Langendorff et Johannem Froben de Hamelburg],Internet Archive,2025-11-18T16:14:37.463067
McGillLibrary-rbsc_genealogiae-deorum-getiliu-ad-vgonem_Y36B661481-22036,Genealogiae deorum gētiliū ad vgonem inclytū hierusalē & Cyri regem secūdum Ioannem Boccacium d̄ certaldo liber primus īcipit foeliciter,"Boccaccio, Giovanni, 1313-1375",1481-01-01T00:00:00Z,1481,Latin,355 leaves ; fol. (30 cm),"[Reggio Emilia] : Bartholomaeus et Laurentius de Bruschis, Bottonus",Internet Archive,2025-11-18T16:14:37.463078
McGillLibrary-osl_dyalogus-singularissimus_WZ230C452d1498-22032,"Dyalogus singularissimus [et] perutilis viri occullentissimi D[omi]ni Simphoriani Lugdunen[sis] in magica[rum] artiu[m] destructionem : cu[m] suis anexis De fascinatorib[us], de incubis [et] succubis, [et] de demoniacis","Champier, Symphorien, 1472?-approximately 1535",1498-01-01T00:00:00Z,1498,Latin,[40] p. : ill. (woodcut) ; 20 cm. (4to),Impressum Lugduni : Per Magistru[m] Guillermum Balsarin,Internet Archive,2025-11-18T16:14:37.463087
McGillLibrary-osl_isagoge-simphoriani-champerij_WZ230C452i1500-22029,Isagoge Simphoriani Champerij in gramaticam disciplinam e logicam cum denotatione realium vanitatum e elucidatioe nominaliu veritatum. Incipiut feliciter,"Champier, Symphorien, 1472?-approximately 1535, author",1500-01-01T00:00:00Z,1500,Latin,16 unnumbered leaves ; 14 cm,"[Lyons, France] : [Jean Pivard]",Internet Archive,2025-11-18T16:14:37.463100
McGillLibrary-rbsc_caii-plynii-secundi-naturalis-historiae_folioPA6611A21483-22025,Caii Plynii Secundi Naturalis historiae libri XXXVII,"Pliny, the Elder",1483-01-01T00:00:00Z,1483,Latin,355 fol,Venetiis : Rainaldi de Nouimagio,Internet Archive,2025-11-18T16:14:37.463118
McGillLibrary-rbsc_biblia-venetiis-explicit-biblia-venetiis_CBAXL341487-22022,Biblia Venetiis : explicit biblia Venetiis,"Impressa per Georgium de riuabenis Mantuanum al's Parentē, iij Cal. Martij,",1487-01-01T00:00:00Z,1487,Latin,[466] leaves ; 4to (23 cm),"[Place of publication not identified] : Impressa per Georgium de riuabenis Mantuanum al's Parentē, iij Cal. Martij",Internet Archive,2025-11-18T16:14:37.463135
McGillLibrary-osl_clavis-medica-ad-chinarum_WZ250B7924c1686-21993,Clavis medica ad Chinarum doctrinam de pulsibus,"Boym, Michał, 1612-1659",1686-01-01T00:00:00Z,1686,Latin,"144 pages, VI leaves of plates : illustrations ; 21 cm (4to)",[Nurenberg] : [Wolfgang Moritz Endter],Internet Archive,2025-11-18T16:14:37.463142
McGillLibrary-rbsc_incunabala_ad-sanctissimu_folio-Incun-1471-Rodericus-21998,Ad sanctissimu[m] et B. d[omi]n[u]m d[omi]n[u]m Paulum secu[n]dum pontificem maximu[m] : liber incipit dictus spec[u]l[u]m vite huma[n]e ...,"Sánchez de Arévalo, Rodrigo, 1404-1470",1471-01-01T00:00:00Z,1471,Latin,[256] p. ; 32 cm (fol.),"[Augsburg, Germany] : A Ginthero zainer ex Reutlingen ...",Internet Archive,2025-11-18T16:14:37.463151
McGillLibrary-rbsc_incunabala_naturalis-historia_folioPA6611A21472-21990,[Naturalis historia],"Pliny, the Elder, author",1472-01-01T00:00:00Z,1472,Latin,[358] leaves ; 40 cm (folio),Impressi Venetiis : Per Nicolaum Ienson Gallicum,Internet Archive,2025-11-18T16:14:37.463187
